                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0632,                0.83701,                 1.1773,                0.79055,                0.70116,                0.78594,                0.56622,                 1.1324,                0.93196,                 1.2348,               0.002773,               0.002773,               0.002773
                     75,                 1.0554,                0.82421,                  1.173,                0.79666,                0.69953,                0.78717,                0.56803,                 1.1299,                0.92838,                 1.2326,               0.002674,               0.002674,               0.002674
                     76,                 1.0412,                0.80682,                  1.165,                0.79656,                0.70001,                0.78818,                0.56894,                 1.1276,                0.92428,                 1.2305,               0.002575,               0.002575,               0.002575
                     77,                 1.0418,                0.80234,                 1.1634,                 0.7962,                0.70425,                0.78964,                0.57049,                 1.1255,                 0.9207,                 1.2287,               0.002476,               0.002476,               0.002476
                     78,                 1.0315,                 0.7955,                 1.1591,                0.79809,                0.70566,                0.79074,                0.57214,                 1.1232,                0.91656,                 1.2269,               0.002377,               0.002377,               0.002377
                     79,                 1.0187,                0.77602,                  1.154,                0.79813,                0.70637,                0.79228,                0.57404,                 1.1206,                0.91249,                 1.2249,               0.002278,               0.002278,               0.002278
                     80,                 1.0182,                0.77663,                 1.1516,                 0.7973,                0.70956,                0.79382,                0.57535,                 1.1182,                0.90846,                 1.2229,               0.002179,               0.002179,               0.002179
                     81,                 1.0055,                0.76362,                 1.1421,                0.79641,                0.71108,                0.79499,                0.57701,                 1.1156,                0.90464,                 1.2209,                0.00208,                0.00208,                0.00208
                     82,                 1.0001,                 0.7549,                 1.1393,                0.79859,                0.71209,                0.79623,                0.57871,                  1.113,                0.90038,                 1.2185,               0.001981,               0.001981,               0.001981
                     83,                0.98993,                0.74716,                 1.1363,                0.79663,                 0.7148,                0.79782,                0.58054,                 1.1105,                0.89594,                 1.2163,               0.001882,               0.001882,               0.001882
                     84,                0.98848,                0.73757,                 1.1312,                0.80418,                0.71156,                0.79888,                0.58199,                 1.1082,                0.89239,                  1.214,               0.001783,               0.001783,               0.001783
                     85,                0.97602,                 0.7254,                  1.126,                0.80847,                0.71246,                0.79997,                0.58363,                 1.1055,                0.88845,                 1.2117,               0.001684,               0.001684,               0.001684
                     86,                0.96718,                0.71516,                 1.1207,                0.81253,                0.71268,                0.80132,                0.58586,                 1.1028,                0.88523,                 1.2097,               0.001585,               0.001585,               0.001585
                     87,                0.95915,                0.70506,                 1.1153,                 0.8144,                0.71333,                0.80249,                0.58714,                 1.1001,                0.88174,                 1.2074,               0.001486,               0.001486,               0.001486
                     88,                0.95698,                 0.7014,                 1.1101,                0.81793,                0.71416,                0.80441,                 0.5888,                 1.0974,                0.87841,                 1.2049,               0.001387,               0.001387,               0.001387
                     89,                0.94839,                0.69453,                 1.1091,                0.82073,                0.71356,                0.80587,                0.59037,                 1.0948,                0.87525,                  1.203,               0.001288,               0.001288,               0.001288
                     90,                0.89152,                0.58926,                 1.0684,                0.81575,                0.72025,                 0.8072,                0.59202,                 1.0924,                0.87216,                 1.2009,               0.001189,               0.001189,               0.001189
                     91,                0.86592,                0.55747,                 1.0529,                0.81593,                0.72168,                0.80782,                0.59324,                 1.0897,                 0.8689,                 1.1986,                0.00109,                0.00109,                0.00109
                     92,                0.85642,                0.54786,                 1.0515,                0.81842,                0.72128,                0.80923,                0.59463,                  1.087,                0.86607,                 1.1965,               0.000991,               0.000991,               0.000991
                     93,                0.84276,                 0.5332,                 1.0403,                0.81572,                0.72332,                0.80991,                0.59627,                 1.0844,                0.86308,                 1.1942,               0.000892,               0.000892,               0.000892
                     94,                0.82456,                 0.5169,                 1.0314,                0.81511,                0.72488,                0.81188,                0.59756,                 1.0815,                0.86018,                  1.192,               0.000793,               0.000793,               0.000793
                     95,                0.81253,                0.50649,                 1.0259,                0.81903,                0.72511,                0.81259,                0.59934,                 1.0787,                0.85694,                 1.1898,               0.000694,               0.000694,               0.000694
                     96,                0.80304,                0.49501,                 1.0196,                0.82397,                0.72299,                0.81368,                0.60106,                 1.0759,                0.85393,                 1.1877,               0.000595,               0.000595,               0.000595
                     97,                0.79135,                0.48479,                  1.013,                0.82052,                0.72683,                0.81451,                 0.6025,                 1.0732,                0.85083,                 1.1852,               0.000496,               0.000496,               0.000496
                     98,                 0.7758,                0.47352,                 1.0071,                0.82007,                0.72951,                0.81594,                0.60408,                 1.0705,                0.84804,                 1.1834,               0.000397,               0.000397,               0.000397
                     99,                0.76425,                0.46321,                  1.002,                0.82247,                0.73162,                0.81699,                0.60568,                 1.0679,                0.84553,                 1.1815,               0.000298,               0.000298,               0.000298
